,Total_Days,amount_raised_usd,amount_raised_usd_boxcox,state,currency,category,month_launch
17166,21,1200.0,5.747651602661078,0,USD,Art,9
17167,15,1012.0,5.636849083026544,0,USD,Health & Fitness,9
17168,45,974.1074740269228,5.611873715870833,0,CAD,Dance & Theater,9
17169,59,300.62905211092647,4.8130663171876735,0,EUR,Fashion & Wearables,9
17170,60,2445.0,6.198129593416749,0,USD,Local Businesses,9
17171,30,135.0,4.235106857674596,0,USD,Comics,9
17172,49,1845.0,6.022266668828909,0,USD,Web Series & TV Shows,9
17173,30,33582.0,7.696574591087578,1,USD,Energy & Green Tech,9
17174,30,1745.0,5.987099547932116,0,USD,Film,9
17175,25,460.82776655889046,5.109991764848367,0,CAD,Comics,9
17176,1,11164.020965790096,7.095946432258064,1,CAD,Photography,9
17177,60,661.3839146440382,5.355139329956364,0,EUR,Music,9
17178,60,5582.894395130949,6.6966309741929235,0,GBP,Education,9
17179,25,640.0,5.333063973739566,0,USD,Comics,9
17180,21,596.0,5.285069238423702,0,USD,Environment,9
17181,60,402.2027927789949,5.016250426681265,0,GBP,Productivity,9
17182,1,10063.0,7.037194205959298,0,USD,Health & Fitness,9
17183,60,18970.0,7.390163123452581,0,USD,Audio,9
17184,60,843.726935195627,5.517306496868523,0,CAD,Film,9
17185,60,280.2432271431301,4.7635042880340706,0,CAD,Food & Beverages,9
17186,1,747.7033188650809,5.437141900901023,0,HKD,Tabletop Games,9
17187,60,2001.0,6.073275634760485,0,USD,Transportation,9
17188,30,77656.0,8.127289823902354,0,USD,Audio,9
17189,30,463.0,5.113217601146787,0,USD,Human Rights,9
17190,1,5873.0,6.726400817974331,0,USD,Travel & Outdoors,9
17191,1,541368.0,9.043760205633031,1,USD,Health & Fitness,9
17192,60,33259.0,7.691478359859043,0,USD,Home,9
17193,35,446.0,5.087531503131617,0,USD,Home,9
17194,1,1094964.0,9.350091016595584,1,USD,Phones & Accessories,9
17195,38,2210153.0,9.642617755574088,1,USD,Transportation,9
17196,60,1870.0,6.030742522811098,0,USD,Environment,9
17197,31,1709.0,5.973912847385153,0,USD,"Podcasts, Blogs & Vlogs",9
17198,60,700.0,5.393149134012133,0,USD,Energy & Green Tech,9
17199,60,3857.0,6.476473735142688,0,USD,"Podcasts, Blogs & Vlogs",9
17200,30,2730.0,6.266169950526464,0,USD,Art,9
17201,42,725.8295432601067,5.417350926316601,0,GBP,Culture,9
17202,1,138060.7615643039,8.410350528959542,1,HKD,Productivity,9
17203,60,2677.0,6.254105274750922,0,USD,Art,9
17204,9,1285.0,5.791829192437338,0,USD,Web Series & TV Shows,9
17205,60,25005.0,7.5396960304997345,0,USD,Environment,9
17206,60,295.0,4.7997461268856085,0,USD,Energy & Green Tech,9
17207,35,4010.0,6.499868455654314,0,USD,Writing & Publishing,9
17208,60,752746.0,9.188765255863599,1,USD,Travel & Outdoors,9
17209,41,19819.0,7.414034674472213,0,USD,Art,9
17210,1,21275.462300147163,7.452562997833891,1,GBP,Fashion & Wearables,9
17211,35,674.3216334559334,5.368130565095408,0,HKD,Audio,9
17212,30,195.0,4.504101660463159,0,USD,Human Rights,9
17213,15,445.0,5.0859883328647095,0,USD,Fashion & Wearables,9
17214,30,2.0,0.6785955513381418,0,USD,Transportation,9
17215,30,1610.0,5.936071074285307,0,USD,Web Series & TV Shows,9
17216,21,2150.0,6.1181989607132214,0,USD,Film,9
17217,60,1415.0,5.8537244200127585,0,USD,Film,9
17218,1,49815.85622173684,7.901951297828769,0,CAD,Home,9
17219,30,965.5530621350044,5.606092724599937,0,GBP,"Podcasts, Blogs & Vlogs",9
17220,30,11986.17594374488,7.1359386940487886,0,GBP,Web Series & TV Shows,9
17221,60,678.0,5.371775878826062,0,USD,Art,9
17222,30,3641.0,6.44171233350216,0,USD,Fashion & Wearables,9
17223,60,1531.0,5.904057607333155,0,USD,Web Series & TV Shows,9
17224,1,315393.0,8.799644939864937,1,USD,Food & Beverages,9
17225,1,614036.086117867,9.099515046930701,0,CHF,Fashion & Wearables,9
17226,45,1053.0,5.662778353586579,0,USD,Film,9
17227,40,360.0,4.9392994524441844,0,USD,Travel & Outdoors,9
17228,1,7928.485525137593,6.900868107743597,0,CAD,Tabletop Games,9
17229,60,1378.3558426972666,5.836908958103586,0,EUR,Film,9
17230,60,996.0,5.6264264549812335,0,USD,Comics,9
17231,1,68215.0,8.062130471445837,1,USD,Productivity,9
17232,16,4927.0,6.622789399619558,0,USD,Comics,9
17233,30,4360.0,6.550003537923718,0,USD,Dance & Theater,9
17234,21,31202.0,7.6577378350024405,0,USD,Dance & Theater,9
17235,1,110616.0,8.302507074865764,1,USD,Camera Gear,9
17236,37,3257.0,6.374137902109125,0,USD,Music,9
17237,31,4814.338862017677,6.609060037883498,0,CAD,Culture,9
17238,1,674199.2032481587,9.140613214961391,1,HKD,Fashion & Wearables,9
17239,1,472626.0,8.983164096014473,1,USD,Camera Gear,9
17240,60,80965.0,8.14815549082807,1,USD,Video Games,9
17241,60,610.0,5.300737335615037,0,USD,Culture,9
17242,60,1807.0,6.0091470432655045,0,USD,Human Rights,9
17243,60,7605.0,6.876842300761035,0,USD,Comics,9
17244,50,1309.0,5.8037425314285445,0,USD,Writing & Publishing,9
17245,45,12970.0,7.180132205106498,0,USD,Web Series & TV Shows,9
17246,31,6855.0,6.816689806263521,0,USD,Dance & Theater,9
17247,60,808.0,5.488667750666688,0,USD,Travel & Outdoors,9
17248,60,45010.0,7.849590561989956,0,USD,Comics,9
17249,32,558.0,5.240489266223771,0,USD,Comics,9
17250,31,4283.0,6.539349741437808,0,USD,Productivity,9
17251,60,7454.0,6.865253251132405,0,USD,Film,9
17252,30,5820.0,6.721080293937909,0,USD,Comics,9
17253,60,11375.0,7.106500238405283,1,USD,Comics,9
17254,34,121.0,4.153836795013509,0,USD,Local Businesses,9
17255,60,1650.0,5.951650354192852,0,USD,Food & Beverages,9
17256,1,58796.0,7.986795999970052,1,USD,Travel & Outdoors,9
17257,60,12063.1970956611,7.139535096141853,0,CAD,Music,10
17258,45,13828.579563974508,7.2158844835344595,0,CAD,Fashion & Wearables,10
17259,1,81866.98937098884,8.15368637674236,0,CAD,Video Games,10
17260,60,42808.44257134268,7.823586169046252,0,EUR,Productivity,10
17261,35,20729.79120461494,7.438465751904838,1,EUR,Travel & Outdoors,10
17262,38,7221.903946181727,6.8469452403430155,0,EUR,Culture,10
17263,30,156.5539969483315,4.3441943102167055,0,EUR,Tabletop Games,10
17264,60,238.2343431822436,4.6480547615094405,0,EUR,Energy & Green Tech,10
17265,31,5184.0,6.652900128273109,0,USD,Food & Beverages,10
17266,30,740.0,5.430243017973576,0,USD,Web Series & TV Shows,10
17267,60,7300.0,6.853174410895328,0,USD,"Podcasts, Blogs & Vlogs",10
17268,60,492424.0,9.001528920611424,1,USD,Home,10
17269,37,460.0,5.108758255769085,0,USD,Dance & Theater,10
17270,60,997.0,5.627083059271493,0,USD,Environment,10
17271,1,42054.0,7.814346857059702,0,USD,Home,10
17272,60,10095.0,7.03899628102475,1,USD,Comics,10
17273,32,7037.0,6.831907089456303,0,USD,Music,10
17274,30,350.0,4.919660272351857,0,USD,Culture,10
17275,37,172635.0,8.517620544662412,1,USD,Fashion & Wearables,10
17276,35,7545.0,6.872266875831293,0,USD,"Podcasts, Blogs & Vlogs",10
17277,60,57536.0,7.975755456565778,0,USD,Film,10
17278,30,3318.0,6.385420527848185,0,USD,Film,10
17279,58,875.7948235080574,5.541936636604654,0,EUR,Comics,10
17280,60,915531.1775016024,9.273508432596197,1,EUR,Travel & Outdoors,10
17281,60,2123.0,6.11030857035243,0,USD,Writing & Publishing,10
17282,60,176.0,4.4297202988609055,0,USD,Writing & Publishing,10
17283,20,1033.0,5.6502664228192225,0,USD,Tabletop Games,10
17284,40,6130.0,6.751497656035564,0,USD,Writing & Publishing,10
17285,46,4402.0,6.555730844523497,0,USD,Writing & Publishing,10
17286,31,1112997.0,9.357038900612672,1,USD,Audio,10
17287,30,6085.0,6.747184877968956,0,USD,Transportation,10
17288,30,920.0,5.574363389843244,0,USD,Environment,10
17289,60,198.0,4.5151391273241135,0,USD,Tabletop Games,10
17290,45,204.0,4.53669113908364,0,USD,Productivity,10
17291,60,134.0,4.229605163082415,0,USD,Food & Beverages,10
17292,60,4979.0,6.62901434892517,0,USD,Music,10
17293,60,424.28402071504337,5.053164941032471,0,EUR,Photography,10
17294,40,17.016738798731687,2.6011633783587658,0,EUR,Productivity,10
17295,60,2280.242999030046,6.154839413291547,0,EUR,Environment,10
17296,30,1070.0,5.673216756266459,0,USD,Writing & Publishing,10
17297,15,280.0,4.762890092671473,0,USD,"Podcasts, Blogs & Vlogs",10
17298,40,118.0,4.135123512885021,0,USD,Writing & Publishing,10
17299,60,6500.0,6.785733324761881,0,USD,Travel & Outdoors,10
17300,30,6848.101855859575,6.816104636276253,0,GBP,Film,10
17301,40,17982.0,7.360912682193033,0,USD,Environment,10
17302,60,26249.0,7.565718976568186,0,USD,Wellness,10
17303,60,460.0,5.108758255769085,0,USD,Tabletop Games,10
17304,30,135.0,4.235106857674596,0,USD,Dance & Theater,10
17305,60,1850.0,6.023971553427423,0,USD,Film,10
17306,31,8689.977559215038,6.953546103024256,0,GBP,Dance & Theater,10
17307,60,3291.0,6.380453969893979,0,USD,Music,10
17308,52,2280.242999030046,6.154839413291547,0,EUR,Tabletop Games,10
17309,1,44866.91288600231,7.8479418779413255,1,HKD,Health & Fitness,10
17310,1,9218.0,6.987272618121445,0,USD,Energy & Green Tech,10
17311,30,53566.0,7.939212907097752,0,USD,Transportation,10
17312,34,16627.0,7.3178955773970005,1,USD,Audio,10
17313,1,72613.0,8.093602343284717,1,USD,Home,10
17314,1,188155.0,8.558549542622492,1,USD,Audio,10
17315,60,2440.0,6.196861954888312,0,USD,Film,10
17316,45,22658.0,7.48662899769773,1,USD,Audio,10
17317,30,1165424.0,9.376579242280297,1,USD,Transportation,10
17318,35,11215.398623177924,7.098535878545336,1,AUD,Music,10
17319,41,443.5935574030295,5.0838117121370345,0,CAD,Phones & Accessories,10
17320,60,3050.1076273657054,6.334128955869308,0,CHF,Energy & Green Tech,10
17321,60,2244.0784961344584,6.144892792935985,0,GBP,Web Series & TV Shows,10
17322,1,131613.0,8.387201749896391,0,USD,Home,10
17323,1,5608.0,6.699271430556251,1,USD,Tabletop Games,10
17324,1,142244.0,8.42476348387175,1,USD,Home,10
17325,60,3493.0,6.416606070383665,0,USD,Writing & Publishing,10
17326,50,2873.0,6.2975208106591705,0,USD,Web Series & TV Shows,10
17327,60,24695.0,7.53299713053194,0,USD,Film,10
17328,30,4099.0,6.513045228136608,0,USD,Video Games,10
17329,30,149.8626883118343,4.312128231908958,0,CAD,Education,10
17330,30,33611.462475254826,7.697036852620054,0,EUR,Travel & Outdoors,10
17331,1,47067.04933643199,7.872695868926269,1,GBP,Productivity,10
17332,30,499.4239976560367,5.165035768071708,0,GBP,Art,10
17333,42,5343.170876256051,6.670764667128895,0,GBP,Audio,10
17334,1,949988.0,9.289386281822997,1,USD,Energy & Green Tech,10
17335,40,643.0,5.336207797907394,0,USD,"Podcasts, Blogs & Vlogs",10
17336,60,741.0709937020206,5.431206721227827,0,CAD,Wellness,10
17337,24,130.4616641236096,4.20978235171163,0,EUR,Energy & Green Tech,10
17338,30,164328.37768084538,8.494077557144022,0,EUR,Audio,10
17339,40,3199.87463962076,6.363366674839284,0,HKD,Audio,10
17340,1,240119.0,8.67332610401221,1,USD,Audio,10
17341,60,4089.0,6.51157991319178,0,USD,Writing & Publishing,10
17342,31,292110.0,8.764333051945691,1,USD,Photography,10
17343,60,9560.0,7.008040462206388,1,USD,Comics,10
17344,30,571.0,5.2560935912193765,0,USD,Comics,10
17345,60,350.0,4.919660272351857,0,USD,Education,10
17346,51,1115.0,5.700019864961807,0,USD,Comics,10
17347,31,4887589.0,9.958330152254588,1,USD,Productivity,10
17348,60,129.05934176899228,4.20176771728599,0,AUD,Video Games,10
17349,30,7212.4316765517615,6.846184846110549,0,AUD,Health & Fitness,10
17350,1,183086.0,8.545588660774083,1,USD,Travel & Outdoors,10
17351,60,31541.0,7.6634580591030925,0,USD,Fashion & Wearables,10
17352,40,8628.0,6.949445373858544,0,USD,"Podcasts, Blogs & Vlogs",10
17353,60,17901.0,7.358439360946635,0,USD,Wellness,10
17354,60,154.0,4.332129853703594,0,USD,Comics,10
17355,34,3787.0,6.465439720136179,0,USD,Dance & Theater,10
17356,28,5183.298638093672,6.6528201285382815,0,EUR,Culture,10
17357,60,794.1144772741453,5.477172546658555,0,EUR,Tabletop Games,10
17358,30,1205.276581009902,5.7504894071810035,0,GBP,Photography,10
17359,30,701.857191372617,5.394920678270514,0,GBP,Film,10
17360,60,1262.0,5.78018851231526,0,USD,Web Series & TV Shows,10
17361,14,1136.0,5.7121375725521055,0,USD,Comics,10
17362,1,23561.83927999069,7.507727536610086,1,AUD,Tabletop Games,10
17363,1,51631.11877634461,7.920346504196563,0,GBP,Productivity,10
17364,60,11782.410952701215,7.126304584733495,0,GBP,Music,10
17365,7,200.0,4.5223992687044134,0,USD,Energy & Green Tech,10
17366,1,25846.0,7.557434697010927,1,USD,Fashion & Wearables,10
17367,1,89880.0,8.200154761719192,1,USD,Education,10
